Vendor,VendorCity,VendorID,VendorLatitude,VendorLongitude,VendorStateProvince,VendorCountry,Weight
Tupac Amaru  Juegos,Trujillo,4121,-8.112,-79.0288,La Libertad,Peru,3
Casa de Pasatiempos y Juegos,Santiago,4122,-33.468594,-70.639075,Santiago,Chile,2
Jugadores de Guerra de Guayaquil,Guayaquil,4123,-2.203816,-79.897453,Guayas,Ecuador,2
Casa de Pasatiempos y Juegos,Santa Cruz de la Sierra,4124,-17.866667,-63,Santa Cruz,Bolivia,2
Casa de Pasatiempos y Juegos,Aregua,4125,-25.295278,-57.414722,Central,Paraguay,2
Videos de Montana y Juegos,Montevideo,4126,-34.883611,-56.181944,Montevideo,Uruguay,2
Goose Green Scale Modeler,Goose Green,4127,-51.707779,-57.826538,Stanley,Falkland Islands,1
EuroToys Emporium,Andorra la Vella,5001,42.505813,1.52651,Andorra la Vella,Andorra,1
Der Kriegsspiel,Graz,5002,47.040523,15.463386,Steiermark,Austria,3
Giochi di Minsk,Minsk,5003,53.899378,27.57283,Minsk,Belarus,2
Long Walls RC and Game Centre,Pireas,5004,37.944381,23.643812,Salamis,Greece,3
Anneaux du Temps,Chareleroi,5005,50.403797,4.440161,Hainaut,Belgium,3
Green Line Games,Nikosia,5006,35.169683,33.369266,Nikosia,Cyprus,3
EuroToys Emporium,Prague,5007,50.074037,14.432448,Central Bohemia,Czech Republic,3
Copenhagen Hobby Import,Copenhagen,5008,55.616137,12.646809,Hovedstaden,Denmark,3
Hobby Tarl_s,Budapest,5009,47.461687,19.098573,Central Hungary,Hungary,3
RC Hobbyist,Tallinn,5010,59.441355,24.766166,Harjumaa,Estonia,3
Telegames Games,Helsinki,5011,60.155794,24.953647,Southern Finland,Finland,3
Paris Teleguide & Modeliste Inc,Paris,5012,48.855988,2.313319,Ile-de-France,France,5
Passe-Temps,Nantes,5013,47.193785,-1.553235,Loire-Atlantique,France,4
Centre du Hobby,Nancy,5014,48.684966,6.187159,Meurthe-et-Moselle,France,3
Der Kriegsspiel,Bremen,5015,53.080354,8.824468,Bremen,Germany,3
Der Kriegsspiel,Starnberg,5016,47.996838,11.357224,Munich,Germany,4
Der Kriegsspiel,Cologne,5017,50.941222,6.988893,North Rhine-Westphalia,Germany,3
Der Kriegsspiel,Berlin,5018,52.517914,13.404844,Berlin,Germany,4
EuroToys Emporium,Reykjavik,5019,64.06133,-21.989458,Greater Reykjav_k,Iceland,2
EuroToys Emporium,Dublin,5020,53.350854,-6.22927,Dublin,Ireland,3
Giochi di Guerra del Nord,Turin,5021,45.082106,7.727079,Turin,Italy,3
Giochi di Guerra del Sud,Avellino,5022,40.912926,14.78454,Avellino,Italy,3
Giochi di Guerra di Roma,Rome,5023,41.893322,12.533813,Rome,Italy,4
EuroToys Emporium,Luxembourg City,5024,49.615071,6.137216,Luxembourg,Luxembourg,2
Giochi di Guerra di Malta,Malta,5025,35.901406,14.51846,Malta,Malta,2
Klompen Ambachten en Hobby,Haarlem,5026,52.385575,4.64668,North Holland,Netherlands,2
EuroToys Emporium,Oslo,5027,59.897329,10.764649,Oslo,Norway,2
Pociagi i Gry,Warsaw,5028,52.23041,21.045771,Masovia,Poland,3
Pociagi i Gry,Gdansk,5029,54.35214,18.64411,Pomerania,Poland,3
The Hobbyist,Comibra,5030,40.202605,-8.443969,Beira Litoral,Portugal,3
EuroToys Emporium,Bucharest,5031,44.430132,26.091215,Bucharest,Romania,3
Red Guard Games,Moscow,5032,55.730456,37.638726,Moscow,Russia,4
Giochi di Guerra di San Marino,San Marino Citta,5033,43.934776,12.447899,San Marino,San Marino,2
Juegos de Guerra,Cadiz,5034,36.527806,-6.28742,Cadiz,Spain,3
Pablo Modelismo,Madrid,5035,40.397641,-3.709409,Madrid,Spain,3
No Pasaran!,Bilbao,5036,43.255638,-2.919681,Biscay,Spain,2
EuroToys Emporium,Stockholm,5037,59.310235,18.091264,Stockholm,Sweden,3
Giochi di Guerra di Svizzera,Lugano,5038,46.005485,8.95552,Ticino,Switzerland,3
Topkapi Games,Istanbul,5039,41.013338,28.980185,Istanbul,Turkey,3
Foursquare Hobby Shops,Sevastopol,5040,44.613872,33.525443,Crimea,Ukraine,3
The Armchair General,Cambridge,5041,52.196505,0.112385,Cambridgeshire,United Kingdom,3
Red Rose White Rose Gaming,Lancaster,5052,54.044811,-2.799207,Lancashire,United Kingdom,3
Shot & Pike Games,Birmingham,5053,52.48163,-1.862183,Warwickshire,United Kingdom,3
The Toy Emporium,London,5054,51.509675,-0.087086,Greater London,United Kingdom,4
Bannockburn Hobbies,Glasgow,5055,55.851985,-4.238824,Glasgow,United Kingdom,3
King Fahd Games,Isa Town,5056,26.174771,50.548621,Al Wustaa,Bahrain,3
Upper Kingdom Hobbies,Giza,5057,30.014663,31.209948,Giza,Egypt,2
House of Senemut Games,Cairo,5058,30.042532,31.236373,Cairo,Egypt,3
Dam Games,Aswan,5059,24.084599,32.898039,Aswan,Egypt,2
House of Senemut Games,Alexandria,5060,31.167713,29.895623,Alexandria,Egypt,2
Fedayeen Games,Tabriz,5061,38.062852,46.322243,East Azerbaijan,Iran,1
11th of February Game,Tehran,5062,35.695498,51.418784,Tehran,Iran,1
House of Maccabee Games,Haifa,5063,32.830299,34.970062,Haifa,Israel,3
Hobby Shop  Tel Aviv,Tel Aviv,5064,32.066763,34.764385,Tel Aviv,Israel,4
Arab Legion Workshop,Amman,5065,31.951449,35.939509,Amman,Jordan,2
Flying Carpet RC and Games,Muscat,5069,23.613658,58.546523,Muscat,Oman,2
Games of the Desert,Jeddah,5070,21.512866,39.208027,Kekkah,Saudi Arabia,3
Fedayeen Games,Damascus,5072,33.495112,36.322807,Rif Dimashq,Syria,2
Lawrences Hobby Shop,Abu Dhabi,5073,24.44448,54.377217,Abu Dhabi,United Arab Emirates,2
EuroToys Emporium,Yerevan,7001,40.182428,44.517535,Yerevan,Armenia,2
Geppettos Toys,Melbourne,7002,-37.814107,144.96328,Victoria,Australia,3
Devilish Diversions,Hobart,7003,-42.87858,147.33608,Tasmania,Australia,2
Games Down Under,Sydney,7004,-33.867566,151.207125,New South Wales,Australia,2
Hobbies of the Wasteland,Perth,7005,-33.866018,151.203429,Western Australia,Australia,2
Golden Hordes Games,Beijing,7006,39.904361,116.407053,Beijing,China (PRC),5
Golden Hordes Games,Tianjin,7007,39.08282,117.203296,Tianjin,China (PRC),3
House of Peoples Diversions ,Nanjing,7008,32.063494,118.802805,Jiangsu,China (PRC),4
House of Peoples Diversions ,Hangzhou,7009,30.27477,120.162406,Zhejiang,China (PRC),3
House of Peoples Diversions ,Haikou,7010,20.032081,110.329181,Hainan,China (PRC),4
House of Peoples Diversions ,Syanley,7011,22.219466,114.212977,Hong Kong,China (PRC),4
House of Peoples Diversions,Xi'an,7012,34.342999,108.943648,Shaanxi,China (PRC),2
Tbilisi RC and Trains,Tbilisi,7013,41.708113,44.792215,Tbilisi,Georgia,2
Games Indians Play,Delhi,7014,28.635813,77.226301,Delhi,India,5
The Hobby Store,Hyderabad,7015,17.399067,78.535906,Andhra Pradesh,India,4
Kyber Rifles Hobbyists,Raipur,7016,21.25186,81.628895,Chhattisgarh,India,3
Games Indians Play,Bangalore,7017,12.97202,77.594043,Karnataka,India,3
Tiger of Mysore Hobbies,Mysore,7018,12.295368,76.641961,Karnataka,India,3
Marquis Dupleix Hobbies,Puducherry,7019,11.912408,79.814311,Puducherry,India,3
Games Indians Play,Mumbai,7020,19.075968,72.877437,Maharashtra,India,2
Models and Games of Indonesia,Bali,7021,-8.405605,115.197251,Bali,Indonesia,2
Mr Sparkles Wonderful House of Fun,Tokyo,7022,35.684687,139.793258,Tokyo,Japan,5
Happy Fun Games,Sapporo,7023,43.062096,141.354376,Hokkaido,Japan,3
Happy Fun Games,Kyoto,7024,35.011636,135.768029,Kyoto,Japan,3
Happy Fun Games,Hiroshima,7026,34.397789,132.47661,Hiroshima,Japan,4
Island Gaming,Kuching,7027,1.535881,110.34094,Sarawak,Malaysia,2
Golden Hordes Games,Ulaanbaatar,7028,47.921867,106.906143,Ulaanbaatar,Mongolia,1
Top of the World Games,Kathmandu,7029,27.7,85.333333,Kathmandu,Nepal,2
Mahmuds Kites & Games,Karachi,7031,24.89062,67.032078,Sindh,Pakistan,3
Mahmuds Kites & Games,Hyderbad,7032,25.400936,68.350883,Sindh,Pakistan,3
I Shall Return Hobbies,Manila,7033,14.602954,120.985104,Merto Manila,Philippines,3
Sling Toy Warehouse,Singapore,7034,1.352083,103.819836,Singapore,Singapore,3
Scale Modeler of Seoul,Seoul,7035,37.567097,126.977202,Gyeonggi,South Korea,4
Hams House of Fantastic Fun,Hongseong,7039,36.601325,126.659565,South Chungcheong,South Korea,3
Happy Fun Games,Suwon,7040,37.263573,127.028601,Gyeonggi,South Korea,2
Falks Toy Store,Colombo,7041,6.934444,79.842778,Western,Sri Lanka,2
New China Toys and Hobbies,Danshui,7042,25.18718,121.459522,New Taipei City,Taiwan (ROC),3
ILA Games,Nha Trang,7043,12.230257,109.19348,Khanh Hoa,Vietnam,2
Kiwi Game Warehouse ,Christchurch,7044,-43.529854,172.637888,Canterbury,New Zealand,2
Kiwi Game Warehouse,Auckland,7045,-36.84846,174.763332,Auckland,New Zealand,3
Rainbow Games of Cape Town,Cape Town,9100,-33.924868,18.424055,Western Cape,South Africa,4
Rainbow Games of Pietermaritzburg,Pietermaritzburg,9101,-29.600607,30.379412,KwaZulu-Natal,South Africa,3
Rainbow Games of Johannesburg,Johannesburg,9102,-26.204103,28.047305,Gauteng,South Africa,2
Sweepstake Games,Lagos,9103,6.441158,3.417977,Lagos,Nigeria,3
Lavals Joke and Toy Store,Oran,9104,35.696944,-0.633056,Oran,Algeria,3
Ricks Toy Shop and Cafe,Casablanca,9105,33.533333,-7.583333,Grand Casablanca,Morocco,3
RTL Boutique de Train Miniature,Tunis,9106,36.81881,10.16596,Tunis,Tunisia,2
Adowa Games Warehouse,Addis Ababa,9107,9.022736,38.746799,Oromia,Ethiopia,2
Pan-African RC and Toys,Accra,9108,5.555717,-0.196306,Greater Accra,Ghana,2
Pan-African RC and Toys,Mombasa,9109,-4.043477,39.668207,Mombasa,Kenya,2
African Rifles Amusements,Dar es Salaam,9110,-6.822921,39.269661,Dar es Salaam,Tanzania,2
Pan-African RC and Toys,Yaounde,9111,3.866667,11.516667,Centre Region,Cameroon,2
African Rifles Amusements,Kampala,9112,0.313611,32.581111,Kampala,Uganda,2
Kadaffys Amazements,Tripoli,9113,5.560735,-0.193087,Tripoli,Libya,1
Passe-Temps,Yamoussoukro,9114,6.816667,-5.283333,Lacs,Cote dIvoire,1
Pan-African RC and Toys,Ouagadougou,9115,12.364637,-1.533864,Nord Region,Burkina Faso,1
Jeremys House of Hobbies,Fort-Lamy,9116,12.134846,15.055742,Chari-Baguirmi,Chad,1
Frozen Fun General Store,Amundsen-Scott Station,9999,90,139.2667,Antarctica,Antarctica,0
